date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,5,16,3,0
2019-08-17 11:30:00+00:00,1,5,2,1
2019-08-25 15:30:00+00:00,20,5,1,1
2019-08-31 16:30:00+00:00,5,10,0,3
2019-09-14 14:00:00+00:00,4,5,1,1
2019-09-21 14:00:00+00:00,5,14,2,0
2019-09-28 14:00:00+00:00,2,5,2,2
2019-10-05 14:00:00+00:00,5,8,1,0
2019-10-19 14:00:00+00:00,9,5,2,1
2019-10-26 16:30:00+00:00,5,6,2,4
2019-11-02 15:00:00+00:00,15,5,3,0
2019-11-09 15:00:00+00:00,5,19,3,0
2019-11-23 15:00:00+00:00,18,5,0,3
2019-11-30 15:00:00+00:00,5,7,0,2
2019-12-03 20:15:00+00:00,5,11,1,4
2019-12-07 15:00:00+00:00,17,5,5,0
2019-12-14 15:00:00+00:00,5,13,1,0
2019-12-21 15:00:00+00:00,3,5,0,1
2019-12-26 15:00:00+00:00,8,5,1,0
2019-12-28 19:45:00+00:00,5,12,0,2
2020-01-01 12:30:00+00:00,5,2,1,2
2020-01-11 15:00:00+00:00,6,5,3,0
2020-01-19 14:00:00+00:00,5,9,2,1
2020-01-22 20:15:00+00:00,12,5,0,2
2020-02-02 14:00:00+00:00,5,1,0,0
