date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,5,16,3,0
2019-08-17 14:00:00+00:00,16,10,1,2
2019-08-24 14:00:00+00:00,4,16,0,2
2019-08-31 11:30:00+00:00,16,12,1,1
2019-09-14 14:00:00+00:00,15,16,0,1
2019-09-20 19:00:00+00:00,16,3,1,3
2019-09-28 14:00:00+00:00,17,16,2,1
2019-10-06 13:00:00+00:00,16,6,1,4
2019-10-19 14:00:00+00:00,20,16,1,1
2019-10-25 19:00:00+00:00,16,9,0,9
2019-11-02 15:00:00+00:00,11,16,2,1
2019-11-09 15:00:00+00:00,16,8,1,2
2019-11-23 15:00:00+00:00,1,16,2,2
2019-11-30 17:30:00+00:00,16,18,2,1
2019-12-04 19:30:00+00:00,16,14,2,1
2019-12-08 14:00:00+00:00,13,16,2,1
2019-12-14 17:30:00+00:00,16,19,0,1
2019-12-21 15:00:00+00:00,2,16,1,3
2019-12-26 15:00:00+00:00,6,16,0,2
2019-12-28 15:00:00+00:00,16,7,1,1
2020-01-01 15:00:00+00:00,16,17,1,0
2020-01-11 15:00:00+00:00,9,16,1,2
2020-01-18 15:00:00+00:00,16,20,2,3
2020-01-21 19:30:00+00:00,7,16,0,2
2020-02-01 15:00:00+00:00,10,16,4,0
