date,home_team,away_team,home_goals,away_goals
2019-08-10 16:30:00+00:00,17,2,3,1
2019-08-17 14:00:00+00:00,2,3,1,2
2019-08-23 19:00:00+00:00,2,8,2,0
2019-08-31 14:00:00+00:00,7,2,1,0
2019-09-16 19:00:00+00:00,2,19,0,0
2019-09-22 15:30:00+00:00,1,2,3,2
2019-09-28 14:00:00+00:00,2,5,2,2
2019-10-05 14:00:00+00:00,14,2,1,5
2019-10-19 14:00:00+00:00,2,4,2,1
2019-10-26 11:30:00+00:00,11,2,3,0
2019-11-02 15:00:00+00:00,2,10,1,2
2019-11-10 14:00:00+00:00,20,2,2,1
2019-11-25 20:00:00+00:00,2,13,2,0
2019-12-01 16:30:00+00:00,12,2,2,2
2019-12-04 19:30:00+00:00,6,2,2,1
2019-12-08 14:00:00+00:00,2,9,1,4
2019-12-14 15:00:00+00:00,15,2,2,0
2019-12-21 15:00:00+00:00,2,16,1,3
2019-12-26 15:00:00+00:00,2,14,1,0
2019-12-28 15:00:00+00:00,18,2,3,0
2020-01-01 12:30:00+00:00,5,2,1,2
2020-01-12 16:30:00+00:00,2,11,1,6
2020-01-18 15:00:00+00:00,4,2,1,1
2020-01-21 19:30:00+00:00,2,18,2,1
2020-02-01 15:00:00+00:00,3,2,2,1
