date,home_team,away_team,home_goals,away_goals
2019-08-11 13:00:00+00:00,9,20,0,0
2019-08-18 15:30:00+00:00,6,9,1,1
2019-08-24 14:00:00+00:00,15,9,1,2
2019-08-31 14:00:00+00:00,9,3,3,1
2019-09-14 14:00:00+00:00,12,9,1,0
2019-09-21 11:30:00+00:00,9,17,2,1
2019-09-29 15:30:00+00:00,9,13,5,0
2019-10-05 14:00:00+00:00,10,9,2,1
2019-10-19 14:00:00+00:00,9,5,2,1
2019-10-25 19:00:00+00:00,16,9,0,9
2019-11-03 14:00:00+00:00,7,9,0,2
2019-11-09 17:30:00+00:00,9,1,2,0
2019-11-23 15:00:00+00:00,4,9,0,2
2019-12-01 16:30:00+00:00,9,8,2,1
2019-12-04 19:30:00+00:00,9,18,2,0
2019-12-08 14:00:00+00:00,2,9,1,4
2019-12-14 15:00:00+00:00,9,14,1,1
2019-12-21 17:30:00+00:00,11,9,3,1
2019-12-26 20:00:00+00:00,9,10,0,4
2019-12-28 17:30:00+00:00,19,9,1,2
2020-01-01 15:00:00+00:00,13,9,0,3
2020-01-11 15:00:00+00:00,9,16,1,2
2020-01-19 14:00:00+00:00,5,9,2,1
2020-01-22 19:30:00+00:00,9,19,4,1
2020-02-01 12:30:00+00:00,9,6,2,2
