date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,3,15,1,1
2019-08-17 14:00:00+00:00,2,3,1,2
2019-08-25 13:00:00+00:00,3,11,1,3
2019-08-31 14:00:00+00:00,9,3,3,1
2019-09-15 13:00:00+00:00,3,8,3,1
2019-09-20 19:00:00+00:00,16,3,1,3
2019-09-28 14:00:00+00:00,3,19,2,2
2019-10-06 13:00:00+00:00,1,3,1,0
2019-10-19 14:00:00+00:00,3,14,0,0
2019-10-26 14:00:00+00:00,18,3,0,0
2019-11-02 12:30:00+00:00,3,12,1,0
2019-11-09 15:00:00+00:00,13,3,2,1
2019-11-23 15:00:00+00:00,3,20,1,2
2019-11-30 15:00:00+00:00,17,3,3,2
2019-12-03 19:30:00+00:00,7,3,1,0
2019-12-07 15:00:00+00:00,3,10,0,3
2019-12-14 15:00:00+00:00,6,3,0,1
2019-12-21 15:00:00+00:00,3,5,0,1
2019-12-26 15:00:00+00:00,3,1,1,1
2019-12-28 12:30:00+00:00,4,3,2,0
2020-01-01 17:30:00+00:00,19,3,4,0
2020-01-12 14:00:00+00:00,3,18,0,3
2020-01-18 15:00:00+00:00,14,3,1,0
2020-01-21 19:30:00+00:00,3,4,3,1
2020-02-01 15:00:00+00:00,3,2,2,1
