date,home_team,away_team,home_goals,away_goals
2019-08-11 13:00:00+00:00,13,1,0,1
2019-08-17 11:30:00+00:00,1,5,2,1
2019-08-24 16:30:00+00:00,10,1,3,1
2019-09-01 15:30:00+00:00,1,17,2,2
2019-09-15 15:30:00+00:00,18,1,2,2
2019-09-22 15:30:00+00:00,1,2,3,2
2019-09-30 19:00:00+00:00,12,1,1,1
2019-10-06 13:00:00+00:00,1,3,1,0
2019-10-21 19:00:00+00:00,15,1,1,0
2019-10-27 16:30:00+00:00,1,7,2,2
2019-11-02 15:00:00+00:00,1,20,1,1
2019-11-09 17:30:00+00:00,9,1,2,0
2019-11-23 15:00:00+00:00,1,16,2,2
2019-12-01 14:00:00+00:00,14,1,2,2
2019-12-05 20:15:00+00:00,1,4,1,2
2019-12-09 20:00:00+00:00,19,1,1,3
2019-12-15 16:30:00+00:00,1,11,0,3
2019-12-21 12:30:00+00:00,8,1,0,0
2019-12-26 15:00:00+00:00,3,1,1,1
2019-12-29 14:00:00+00:00,1,6,1,2
2020-01-01 20:00:00+00:00,1,12,2,0
2020-01-11 12:30:00+00:00,7,1,1,1
2020-01-18 15:00:00+00:00,1,15,1,1
2020-01-21 20:15:00+00:00,6,1,2,2
2020-02-02 14:00:00+00:00,5,1,0,0
