date,home_team,away_team,home_goals,away_goals
2019-08-11 15:30:00+00:00,12,6,4,0
2019-08-19 19:00:00+00:00,20,12,1,1
2019-08-24 14:00:00+00:00,12,7,1,2
2019-08-31 11:30:00+00:00,16,12,1,1
2019-09-14 14:00:00+00:00,12,9,1,0
2019-09-22 13:00:00+00:00,19,12,2,0
2019-09-30 19:00:00+00:00,12,1,1,1
2019-10-06 15:30:00+00:00,13,12,1,0
2019-10-20 15:30:00+00:00,12,10,1,1
2019-10-27 16:30:00+00:00,14,12,1,3
2019-11-02 12:30:00+00:00,3,12,1,0
2019-11-10 14:00:00+00:00,12,4,3,1
2019-11-24 16:30:00+00:00,15,12,3,3
2019-12-01 16:30:00+00:00,12,2,2,2
2019-12-04 19:30:00+00:00,12,17,2,1
2019-12-07 17:30:00+00:00,11,12,1,2
2019-12-15 14:00:00+00:00,12,8,1,1
2019-12-22 14:00:00+00:00,18,12,2,0
2019-12-26 17:30:00+00:00,12,13,4,1
2019-12-28 19:45:00+00:00,5,12,0,2
2020-01-01 20:00:00+00:00,1,12,2,0
2020-01-11 15:00:00+00:00,12,14,4,0
2020-01-19 16:30:00+00:00,10,12,2,0
2020-01-22 20:15:00+00:00,12,5,0,2
2020-02-01 17:30:00+00:00,12,20,0,0
