date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,18,4,0,3
2019-08-17 14:00:00+00:00,4,19,1,1
2019-08-24 14:00:00+00:00,4,16,0,2
2019-08-31 14:00:00+00:00,11,4,4,0
2019-09-14 14:00:00+00:00,4,5,1,1
2019-09-21 16:30:00+00:00,13,4,0,0
2019-09-28 14:00:00+00:00,6,4,2,0
2019-10-05 11:30:00+00:00,4,17,3,0
2019-10-19 14:00:00+00:00,2,4,2,1
2019-10-26 14:00:00+00:00,4,8,3,2
2019-11-02 15:00:00+00:00,4,14,2,0
2019-11-10 14:00:00+00:00,12,4,3,1
2019-11-23 15:00:00+00:00,4,9,0,2
2019-11-30 15:00:00+00:00,10,4,2,1
2019-12-05 20:15:00+00:00,1,4,1,2
2019-12-08 16:30:00+00:00,4,20,2,2
2019-12-16 19:45:00+00:00,7,4,1,1
2019-12-21 15:00:00+00:00,4,15,0,1
2019-12-26 12:30:00+00:00,17,4,2,1
2019-12-28 12:30:00+00:00,4,3,2,0
2020-01-01 12:30:00+00:00,4,6,1,1
2020-01-11 15:00:00+00:00,8,4,1,0
2020-01-18 15:00:00+00:00,4,2,1,1
2020-01-21 19:30:00+00:00,3,4,3,1
2020-02-01 15:00:00+00:00,19,4,3,3
2020-02-08 17:30:00+00:00,4,18,1,1
