date,home_team,away_team,home_goals,away_goals
2019-08-11 13:00:00+00:00,9,20,0,0
2019-08-19 19:00:00+00:00,20,12,1,1
2019-08-25 15:30:00+00:00,20,5,1,1
2019-09-01 13:00:00+00:00,8,20,3,2
2019-09-14 14:00:00+00:00,20,6,2,5
2019-09-22 13:00:00+00:00,7,20,1,1
2019-09-28 14:00:00+00:00,20,18,2,0
2019-10-06 13:00:00+00:00,11,20,0,2
2019-10-19 14:00:00+00:00,20,16,1,1
2019-10-27 14:00:00+00:00,13,20,1,1
2019-11-02 15:00:00+00:00,1,20,1,1
2019-11-10 14:00:00+00:00,20,2,2,1
2019-11-23 15:00:00+00:00,3,20,1,2
2019-12-01 14:00:00+00:00,20,15,1,1
2019-12-04 19:30:00+00:00,20,19,2,0
2019-12-08 16:30:00+00:00,4,20,2,2
2019-12-15 14:00:00+00:00,20,17,1,2
2019-12-21 15:00:00+00:00,14,20,1,2
2019-12-27 19:45:00+00:00,20,11,3,2
2019-12-29 16:30:00+00:00,10,20,1,0
2020-01-01 15:00:00+00:00,18,20,2,1
2020-01-11 15:00:00+00:00,20,13,1,1
2020-01-18 15:00:00+00:00,16,20,2,3
2020-01-23 20:00:00+00:00,20,10,1,2
2020-02-01 17:30:00+00:00,12,20,0,0
