date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,3,15,1,1
2019-08-18 13:00:00+00:00,15,7,1,0
2019-08-24 14:00:00+00:00,15,9,1,2
2019-08-31 14:00:00+00:00,6,15,2,2
2019-09-14 14:00:00+00:00,15,16,0,1
2019-09-21 14:00:00+00:00,8,15,0,2
2019-09-28 11:30:00+00:00,15,10,0,1
2019-10-05 14:00:00+00:00,18,15,0,0
2019-10-21 19:00:00+00:00,15,1,1,0
2019-10-26 14:00:00+00:00,19,15,1,1
2019-11-02 15:00:00+00:00,15,5,3,0
2019-11-09 15:00:00+00:00,17,15,1,1
2019-11-24 16:30:00+00:00,15,12,3,3
2019-12-01 14:00:00+00:00,20,15,1,1
2019-12-05 19:30:00+00:00,15,13,0,2
2019-12-08 14:00:00+00:00,14,15,1,2
2019-12-14 15:00:00+00:00,15,2,2,0
2019-12-21 15:00:00+00:00,4,15,0,1
2019-12-26 15:00:00+00:00,15,18,1,1
2019-12-29 18:00:00+00:00,11,15,2,0
2020-01-02 20:00:00+00:00,10,15,2,0
2020-01-10 20:00:00+00:00,15,19,1,0
2020-01-18 15:00:00+00:00,1,15,1,1
2020-01-21 19:30:00+00:00,15,11,0,1
2020-02-01 15:00:00+00:00,7,15,0,1
