date,home_team,away_team,home_goals,away_goals
2019-08-09 19:00:00+00:00,10,14,4,1
2019-08-17 14:00:00+00:00,14,13,3,1
2019-08-24 11:30:00+00:00,14,6,2,3
2019-08-31 14:00:00+00:00,19,14,2,0
2019-09-14 16:30:00+00:00,14,11,3,2
2019-09-21 14:00:00+00:00,5,14,2,0
2019-09-28 14:00:00+00:00,7,14,2,0
2019-10-05 14:00:00+00:00,14,2,1,5
2019-10-19 14:00:00+00:00,3,14,0,0
2019-10-27 16:30:00+00:00,14,12,1,3
2019-11-02 15:00:00+00:00,4,14,2,0
2019-11-08 20:00:00+00:00,14,18,0,2
2019-11-23 15:00:00+00:00,8,14,0,2
2019-12-01 14:00:00+00:00,14,1,2,2
2019-12-04 19:30:00+00:00,16,14,2,1
2019-12-08 14:00:00+00:00,14,15,1,2
2019-12-14 15:00:00+00:00,9,14,1,1
2019-12-21 15:00:00+00:00,14,20,1,2
2019-12-26 15:00:00+00:00,2,14,1,0
2019-12-28 17:30:00+00:00,14,17,2,2
2020-01-01 17:30:00+00:00,14,7,1,1
2020-01-11 15:00:00+00:00,12,14,4,0
2020-01-18 15:00:00+00:00,14,3,1,0
2020-01-22 19:30:00+00:00,17,14,2,1
2020-02-01 15:00:00+00:00,13,14,0,0
