date,home_team,away_team,home_goals,away_goals
2019-08-09 19:00:00+00:00,10,14,4,1
2019-08-17 14:00:00+00:00,16,10,1,2
2019-08-24 16:30:00+00:00,10,1,3,1
2019-08-31 16:30:00+00:00,5,10,0,3
2019-09-14 11:30:00+00:00,10,13,3,1
2019-09-22 15:30:00+00:00,6,10,1,2
2019-09-28 11:30:00+00:00,15,10,0,1
2019-10-05 14:00:00+00:00,10,9,2,1
2019-10-20 15:30:00+00:00,12,10,1,1
2019-10-27 16:30:00+00:00,10,17,2,1
2019-11-02 15:00:00+00:00,2,10,1,2
2019-11-10 16:30:00+00:00,10,11,3,1
2019-11-23 15:00:00+00:00,7,10,1,2
2019-11-30 15:00:00+00:00,10,4,2,1
2019-12-04 20:15:00+00:00,10,8,5,2
2019-12-07 15:00:00+00:00,3,10,0,3
2019-12-14 12:30:00+00:00,10,18,2,0
2019-12-26 20:00:00+00:00,9,10,0,4
2019-12-29 16:30:00+00:00,10,20,1,0
2020-01-02 20:00:00+00:00,10,15,2,0
2020-01-11 17:30:00+00:00,17,10,0,1
2020-01-19 16:30:00+00:00,10,12,2,0
2020-01-23 20:00:00+00:00,20,10,1,2
2020-01-29 19:45:00+00:00,19,10,0,2
2020-02-01 15:00:00+00:00,10,16,4,0
