bank,event,event_transfers,event_transfers_cost,overall_rank,points,points_on_bench,rank,rank_sort,total_points,value
0,1,0,0,343610,89,0,343605,384842,89,1000
0,2,0,0,140495,54,6,691636,721328,143,1002
0,3,0,0,1301211,24,25,6043493,6063170,167,1004
0,4,2,0,211650,85,20,192398,195976,252,1000
0,5,0,0,289999,52,15,3273945,3334372,304,999
0,6,0,0,346798,58,2,2239479,2292641,362,1000
4,7,2,0,61495,77,5,61921,63461,439,997
4,8,0,0,68034,39,3,2496584,2566939,478,996
4,9,0,0,42728,44,5,1271828,1332854,522,992
4,10,0,0,98623,48,2,3376521,3451625,570,993
4,11,0,0,547944,31,2,6377902,6407115,601,993
4,12,0,0,864422,43,0,4197052,4264060,644,993
16,13,1,0,819059,59,8,1826643,1856823,703,993
16,14,0,0,516483,68,6,649577,675667,771,998
4,15,1,0,654385,49,10,3575953,3599965,820,998
6,16,1,0,749814,55,2,3674819,3696449,875,1000
2,17,1,0,739291,61,2,2752860,2778537,936,1002
2,18,0,0,729851,45,2,2014814,2073237,981,1005
2,19,0,0,806815,47,12,3714718,3779036,1028,1008
2,20,0,0,596623,74,3,310029,331679,1102,1007
2,21,0,0,866561,35,2,6134771,6184131,1137,1006
2,22,0,0,726094,69,2,1177713,1214327,1206,1005
10,23,2,0,760855,43,0,3944508,3966383,1249,1005
19,24,1,0,972252,44,1,5266221,5282901,1293,1000
19,25,0,0,1034074,48,9,3360074,3410594,1341,999
1,26,1,0,734220,83,6,186057,190442,1424,998
1,27,0,0,729461,15,3,2971091,3099891,1439,996
