bank,event,event_transfers,event_transfers_cost,overall_rank,points,points_on_bench,rank,rank_sort,total_points,value
0,1,0,0,216687,92,5,216685,242352,92,1000
20,2,1,0,376346,43,2,2539693,2584858,135,1002
24,3,1,0,117765,62,4,597842,609571,197,1004
64,4,1,0,392674,48,19,4902546,4932407,245,1007
9,5,1,0,780372,45,9,4840090,4866338,290,1010
26,6,1,0,274993,76,0,371444,379747,366,1010
12,7,1,0,258572,54,1,2600038,2632195,420,1010
12,8,0,0,514773,27,1,5616425,5669626,447,1011
12,9,0,0,499705,38,0,2789926,2870559,485,1011
29,10,2,0,660922,49,1,3346973,3360881,534,1009
36,11,1,0,793372,57,4,2928002,2945435,591,1010
1,12,1,0,971759,49,2,3206264,3228568,640,1008
1,13,0,0,1117909,50,5,3304005,3348791,690,1009
1,14,1,0,981380,57,4,2256448,2281379,747,1009
2,15,2,0,1029721,54,2,2712764,2727033,801,1009
2,16,0,0,1424310,42,0,5562420,5598898,843,1014
2,17,0,0,863347,86,8,173717,180614,929,1013
2,18,0,0,700208,54,0,653601,678608,983,1014
2,19,0,0,394993,76,0,214490,225315,1059,1015
2,20,0,0,420774,58,0,2690818,2759359,1117,1017
2,21,0,0,446856,52,1,2640600,2710607,1169,1018
2,22,0,0,570554,49,0,5354463,5412847,1218,1018
5,23,1,0,589970,44,2,3677543,3703930,1262,1019
5,24,1,0,584032,60,7,2326749,2337721,1322,1019
1,25,1,0,639921,49,3,3318635,3329113,1371,1016
