first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Tyreke,Johnson,326,Johnson,44,-1,3,0.0,16,20,0,0,0,0,0,0,0,0,0,0,0
Callum,Slattery,327,Slattery,44,-1,3,0.4,16,20,0,0,0,0,0,0,0,0,0,0,0
Oriol,Romeu Vidal,328,Oriol Romeu,44,-1,3,0.9,16,20,25,1062,0,0,2,28,2,0,0,0,158
Che,Adams,437,Adams,54,-6,4,0.3,16,20,20,480,0,1,2,7,0,0,0,0,35
Moussa,Djenepo,438,Djenepo,52,-3,3,0.1,16,20,28,466,2,1,1,7,3,0,0,3,105
Wesley,Hoedt,485,Hoedt,43,-2,2,0.0,16,20,0,0,0,0,0,0,0,0,0,0,0
Cédric,Soares,486,Cédric,48,-2,2,0.2,16,20,15,660,0,0,1,11,1,0,0,0,94
Sofiane,Boufal,508,Boufal,55,0,3,0.1,16,20,25,480,0,3,1,11,1,0,0,0,75
Kevin,Danso,532,Danso,43,-2,2,0.0,16,20,9,275,0,1,1,8,0,1,0,0,46
Daniel,N'Lundulu,535,N'Lundulu,45,0,4,0.1,16,20,0,0,0,0,0,0,0,0,0,0,0
Harry,Lewis,548,Lewis,40,0,1,0.1,16,20,0,0,0,0,0,0,0,0,0,0,0
Ben,Davies,329,Davies,54,-1,2,0.1,17,6,8,360,0,0,0,6,1,0,0,0,43
Jan,Vertonghen,330,Vertonghen,52,-3,2,1.6,17,6,25,810,0,1,2,13,1,0,0,2,170
Toby,Alderweireld,331,Alderweireld,54,-1,2,5.6,17,6,37,1350,0,2,2,22,0,0,0,1,262
Danny,Rose,332,Rose,54,-1,2,1.5,17,6,14,807,0,0,1,13,5,0,0,0,124
Davinson,Sánchez,333,Sánchez,53,-2,2,0.9,17,6,19,1035,0,0,1,17,2,0,0,0,180
Kieran,Trippier,334,Trippier,55,0,2,0.1,17,6,0,0,0,0,0,0,0,0,0,0,0
Juan,Foyth,335,Foyth,49,-1,2,0.0,17,6,1,20,0,0,0,2,1,0,0,0,6
Serge,Aurier,336,Aurier,50,0,2,7.1,17,6,47,904,0,4,3,13,0,1,0,10,234
Kyle,Walker-Peters,337,Walker-Peters,45,-5,2,0.6,17,6,5,241,0,0,0,4,0,0,0,0,44
Harry,Kane,338,Kane,109,-1,4,19.2,17,6,83,1344,9,2,2,22,1,0,0,12,289
Vincent,Janssen,339,Janssen,45,0,4,0.1,17,6,0,0,0,0,0,0,0,0,0,0,0
Hugo,Lloris,340,Lloris,53,-2,1,3.5,17,6,23,548,0,0,1,8,0,0,30,0,123
Paulo,Gazzaniga,341,Gazzaniga,46,1,1,4.4,17,6,31,892,0,0,1,15,0,0,39,3,179
Heung-Min,Son,342,Son,100,5,3,21.0,17,6,88,1143,5,9,2,18,0,1,0,10,294
