first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Ezri,Konsa Ngoyo,452,Konsa,43,-2,2,0.1,2,7,30,1198,0,2,2,29,1,0,0,1,198
Bjorn,Engels,455,Engels,44,-1,2,0.5,2,7,42,1356,1,0,3,28,1,0,0,4,242
Frédéric,Guilbert,458,Guilbert,44,-1,2,0.5,2,7,48,1808,0,2,4,32,7,0,0,2,289
Mahmoud Ahmed,Ibrahim Hassan,465,Trézéguet,52,-3,3,1.1,2,7,58,1315,3,2,3,23,2,1,0,2,170
Douglas Luiz,Soares de Paulo,470,Douglas Luiz,44,-1,3,4.0,2,7,69,1621,3,2,5,36,4,0,0,5,288
Lovre,Kalinic,474,Kalinic,43,-2,1,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0
Marvelous,Nakamba,491,Nakamba,44,-1,3,0.7,2,7,33,1536,0,0,1,31,4,0,0,0,233
Indiana,Vassilev,600,Vassilev,45,0,3,0.0,2,7,2,36,0,0,0,0,0,0,0,0,3
José,Reina,603,Reina,45,0,1,0.5,2,7,18,450,0,0,0,9,1,0,20,2,100
Mbwana,Samatta,613,Samatta,60,0,4,0.3,2,7,12,262,1,0,0,6,0,0,0,2,40
Borja,González Tomás,623,Bastón,55,0,4,0.0,2,7,2,16,0,0,0,2,0,0,0,0,5
Steve,Cook,58,Steve Cook,50,0,2,0.2,3,91,44,1740,1,0,3,34,4,1,0,5,293
Nathan,Aké,59,Aké,48,-2,2,6.6,3,91,65,1834,2,1,3,29,1,0,0,6,375
Charlie,Daniels,60,Daniels,42,-3,2,0.1,3,91,3,126,0,0,0,2,0,0,0,0,18
Chris,Mepham,61,Mepham,43,-2,2,0.6,3,91,26,901,1,0,1,19,1,0,0,2,161
Simon,Francis,62,Francis,44,-1,2,0.0,3,91,16,964,0,0,1,21,3,1,0,1,161
Adam,Smith,63,Adam Smith,43,-2,2,0.4,3,91,38,1377,0,1,3,23,5,0,0,3,221
Lloyd,Kelly,64,Kelly,44,-1,2,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Diego,Rico,65,Rico,43,3,2,10.9,3,91,61,1793,0,3,5,27,6,0,0,5,335
