,first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,points_per_million,points_per_minute,full_name
557,Aaron,Cresswell,376,Cresswell,46,-4,2,1.2,19,21,59,1753,3,0,4,35,6,0,0,5,292,1.2826086956521738,0.03365658870507701,Aaron Cresswell
558,Angelo,Ogbonna,377,Ogbonna,45,0,2,1.2,19,21,60,1890,2,0,6,31,4,0,0,0,318,1.3333333333333333,0.031746031746031744,Angelo Ogbonna
559,Arthur,Masuaku,378,Masuaku,42,-3,2,0.4,19,21,25,908,0,1,2,18,3,1,0,3,160,0.5952380952380952,0.02753303964757709,Arthur Masuaku
560,Pablo,Zabaleta,379,Zabaleta,42,-3,2,0.5,19,21,10,588,0,0,0,14,2,0,0,0,90,0.23809523809523808,0.017006802721088437,Pablo Zabaleta
561,Ryan,Fredericks,380,Fredericks,44,-1,2,0.3,19,21,57,1686,0,2,6,30,5,0,0,5,318,1.2954545454545454,0.033807829181494664,Ryan Fredericks
562,Issa,Diop,381,Diop,43,-2,2,2.0,19,21,44,1685,2,0,3,37,7,0,0,2,256,1.0232558139534884,0.026112759643916916,Issa Diop
563,Fabián,Balbuena,382,Balbuena,43,-2,2,0.4,19,21,36,1081,1,0,3,22,2,0,0,3,189,0.8372093023255814,0.03330249768732655,Fabián Balbuena
564,Winston,Reid,383,Reid,40,0,2,4.8,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Winston Reid
565,Ben,Johnson,384,Johnson,39,-1,2,2.1,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Ben Johnson
566,Marko,Arnautovic,385,Arnautovic,70,0,4,0.1,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Marko Arnautovic
567,Javier,Hernández Balcázar,386,Chicharito,60,0,4,0.3,19,21,9,106,1,0,0,4,0,0,0,2,27,0.15,0.08490566037735849,Javier Hernández Balcázar
568,Alexandre Nascimento,Costa Silva,387,Xande Silva,43,-2,4,0.9,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Alexandre Nascimento Costa Silva
569,Lukasz,Fabianski,388,Fabianski,49,-1,1,2.0,19,21,53,1037,0,0,4,17,1,0,40,5,242,1.0816326530612246,0.05110896817743491,Lukasz Fabianski
570,Michail,Antonio,389,Antonio,69,-1,3,0.7,19,21,31,758,1,2,2,14,0,0,0,0,72,0.4492753623188406,0.040897097625329816,Michail Antonio
571,Felipe Anderson,Pereira Gomes,390,Felipe Anderson,66,-4,3,2.6,19,21,57,1337,1,4,6,25,1,0,0,1,282,0.8636363636363636,0.04263275991024682,Felipe Anderson Pereira Gomes
572,Manuel,Lanzini,391,Lanzini,62,-3,3,0.7,19,21,45,1182,0,3,2,24,0,0,0,3,221,0.7258064516129032,0.03807106598984772,Manuel Lanzini
573,Andriy,Yarmolenko,392,Yarmolenko,53,-7,3,0.8,19,21,49,822,3,1,3,14,2,0,0,8,156,0.9245283018867925,0.05961070559610705,Andriy Yarmolenko
574,Robert,Snodgrass,393,Snodgrass,52,-3,3,1.2,19,21,80,1408,5,4,3,30,4,0,0,8,284,1.5384615384615385,0.056818181818181816,Robert Snodgrass
575,Jack,Wilshere,394,Wilshere,47,-3,3,0.2,19,21,6,174,0,0,0,4,0,0,0,0,14,0.1276595744680851,0.034482758620689655,Jack Wilshere
576,Declan,Rice,395,Rice,47,-3,3,1.5,19,21,58,2340,0,1,6,45,4,0,0,1,396,1.2340425531914894,0.024786324786324785,Declan Rice
577,Mark,Noble,396,Noble,50,0,3,1.5,19,21,79,1879,4,2,6,32,3,0,0,6,358,1.58,0.04204364023416711,Mark Noble
578,Carlos,Sánchez,397,Carlos Sánchez,43,-2,3,0.5,19,21,7,112,0,0,0,2,0,0,0,0,20,0.16279069767441862,0.0625,Carlos Sánchez
579,Grady,Diangana,398,Diangana,44,-1,3,0.1,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Grady Diangana
580,Pablo,Fornals,399,Fornals,60,-5,3,0.3,19,21,55,1238,1,3,4,22,1,0,0,3,192,0.9166666666666666,0.0444264943457189,Pablo Fornals
581,Pedro,Obiang,400,Obiang,45,0,3,0.0,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Pedro Obiang
582,Roberto,Jimenez Gago,450,Roberto,44,-1,1,0.3,19,21,18,686,0,0,0,17,0,0,36,1,134,0.4090909090909091,0.026239067055393587,Roberto Jimenez Gago
583,Sébastien,Haller,457,Haller,68,-7,4,2.3,19,21,85,1939,6,3,5,36,1,0,0,8,270,1.25,0.043837029396596186,Sébastien Haller
584,Albian,Ajeti,514,Ajeti,57,-3,4,0.0,19,21,8,128,0,0,0,3,0,0,0,0,14,0.14035087719298245,0.0625,Albian Ajeti
585,David,Martin,553,Martin,40,0,1,1.7,19,21,20,435,0,0,2,6,1,0,15,2,86,0.5,0.04597701149425287,David Martin
586,Nathan,Holland,568,Holland,44,-1,3,0.0,19,21,2,31,0,0,0,1,0,0,0,0,10,0.045454545454545456,0.06451612903225806,Nathan Holland
587,Joseph,Anang,582,Anang,40,0,1,0.1,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Joseph Anang
588,Jeremy,Ngakia,593,Ngakia,40,0,2,0.0,19,21,1,90,0,0,0,2,0,0,0,0,11,0.025,0.011111111111111112,Jeremy Ngakia
589,Gonçalo Bento,Soares Cardoso,594,Cardoso,40,0,2,0.0,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Gonçalo Bento Soares Cardoso
590,Bernardo,Costa Da Rosa,595,Rosa,45,0,3,0.0,19,21,0,0,0,0,0,0,0,0,0,0,0,0.0,,Bernardo Costa Da Rosa
591,Darren,Randolph,606,Randolph,42,-3,1,0.1,19,21,3,180,0,0,0,5,0,0,6,0,27,0.07142857142857142,0.016666666666666666,Darren Randolph
592,Tomas,Soucek,616,Soucek,50,0,3,0.0,19,21,4,174,0,0,0,5,0,0,0,0,18,0.08,0.022988505747126436,Tomas Soucek
593,Jarrod,Bowen,626,Bowen,65,0,3,0.0,19,21,1,10,0,0,0,0,0,0,0,0,2,0.015384615384615385,0.1,Jarrod Bowen
594,Matt,Doherty,401,Doherty,61,1,2,4.5,20,39,90,1880,3,3,5,24,1,0,0,6,321,1.4754098360655739,0.047872340425531915,Matt Doherty
595,Jonathan,Castro Otto,402,Jonny,54,-1,2,1.1,20,39,69,2117,1,2,5,29,4,0,0,0,348,1.2777777777777777,0.03259329239489844,Jonathan Castro Otto
596,Conor,Coady,403,Coady,50,0,2,1.7,20,39,71,2343,0,0,6,32,2,0,0,5,432,1.42,0.030303030303030304,Conor Coady
597,Willy,Boly,405,Boly,47,-3,2,2.8,20,39,47,903,0,1,5,7,0,1,0,7,222,1.0,0.05204872646733112,Willy Boly
598,Rúben Gonçalo,Silva Nascimento Vinagre,406,Vinagre,42,-3,2,0.2,20,39,15,338,0,0,1,4,1,0,0,0,77,0.35714285714285715,0.04437869822485207,Rúben Gonçalo Silva Nascimento Vinagre
599,Romain,Saïss,407,Saïss,44,-1,2,1.2,20,39,54,1716,2,1,4,26,7,1,0,1,297,1.2272727272727273,0.03146853146853147,Romain Saïss
600,Max,Kilman,408,Kilman,40,0,2,2.1,20,39,5,184,0,0,0,2,0,0,0,0,24,0.125,0.02717391304347826,Max Kilman
601,Raúl,Jiménez,409,Jiménez,78,3,4,29.0,20,39,134,2210,11,6,7,29,2,0,0,22,474,1.7179487179487178,0.06063348416289593,Raúl Jiménez
