,first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,points_per_million,points_per_minute,full_name
28,Gabriel Teodoro,Martinelli Silva,504,Martinelli,46,1,4,3.9,1,3,39,656,3,1,2,9,1,0,0,5,129,0.8478260869565217,0.05945121951219512,Gabriel Teodoro Martinelli Silva
29,Kieran,Tierney,515,Tierney,53,-2,2,0.3,1,3,5,296,0,0,0,6,1,0,0,0,51,0.09433962264150944,0.016891891891891893,Kieran Tierney
30,Bukayo,Saka,541,Saka,45,0,3,1.1,1,3,33,1010,0,3,3,10,4,0,0,0,140,0.7333333333333333,0.032673267326732675,Bukayo Saka
31,Emile,Smith Rowe,576,Smith Rowe,43,-2,3,0.0,1,3,4,96,0,0,1,0,0,0,0,0,13,0.09302325581395349,0.041666666666666664,Emile Smith Rowe
32,Tyreece,John-Jules,585,John-Jules,45,0,4,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Tyreece John-Jules
33,Pablo,Marí,617,Marí,49,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Pablo Marí
34,Ahmed,El Mohamady,22,El Mohamady,42,-3,2,0.9,2,7,19,701,0,1,1,24,0,0,0,5,154,0.4523809523809524,0.02710413694721826,Ahmed El Mohamady
35,James,Chester,23,Chester,43,-2,2,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0,0.0,,James Chester
36,Neil,Taylor,24,Taylor,43,-2,2,0.2,2,7,17,793,0,0,2,19,2,0,0,0,113,0.3953488372093023,0.021437578814627996,Neil Taylor
37,Kortney,Hause,25,Hause,44,-1,2,0.1,2,7,15,990,0,0,1,24,2,0,0,0,121,0.3409090909090909,0.015151515151515152,Kortney Hause
38,Jonathan,Kodjia,26,Kodjia,54,-1,4,0.1,2,7,5,111,0,0,0,6,1,0,0,0,14,0.09259259259259259,0.04504504504504504,Jonathan Kodjia
39,Ørjan,Nyland,27,Nyland,43,-2,1,0.2,2,7,3,177,0,0,0,8,0,0,8,0,34,0.06976744186046512,0.01694915254237288,Ørjan Nyland
40,Conor,Hourihane,28,Hourihane,57,-3,3,0.1,2,7,51,874,3,2,2,24,3,0,0,6,200,0.8947368421052632,0.05835240274599542,Conor Hourihane
41,Jack,Grealish,29,Grealish,67,7,3,25.5,2,7,116,2243,7,7,4,48,7,0,0,15,473,1.7313432835820894,0.05171645118145341,Jack Grealish
42,Anwar,El Ghazi,30,El Ghazi,55,0,3,0.9,2,7,78,1646,4,5,4,38,3,0,0,0,235,1.4181818181818182,0.04738760631834751,Anwar El Ghazi
43,John,McGinn,31,McGinn,54,-1,3,2.7,2,7,61,1537,3,2,3,30,2,0,0,4,253,1.1296296296296295,0.039687703318152245,John McGinn
44,Andre,Green,32,Green,48,-2,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0,0.0,,Andre Green
45,Birkir,Bjarnason,33,Bjarnason,45,0,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0,0.0,,Birkir Bjarnason
46,Keinan,Davis,34,Davis,43,-2,3,0.2,2,7,10,106,0,1,0,1,0,0,0,0,29,0.23255813953488372,0.09433962264150944,Keinan Davis
47,Henri,Lansbury,35,Lansbury,44,-1,3,0.4,2,7,11,189,0,0,0,6,0,0,0,0,34,0.25,0.0582010582010582,Henri Lansbury
48,José Ignacio,Peleteiro Romallo,36,Jota,58,-2,3,0.1,2,7,15,310,0,1,2,4,0,0,0,0,41,0.25862068965517243,0.04838709677419355,José Ignacio Peleteiro Romallo
49,Tom,Heaton,94,Heaton,44,-1,1,2.7,2,7,59,1794,0,0,4,35,0,0,67,3,346,1.3409090909090908,0.03288740245261984,Tom Heaton
50,Daniel,Drinkwater,120,Drinkwater,44,-1,3,0.6,2,7,6,317,0,0,0,11,1,0,0,0,32,0.13636363636363635,0.01892744479495268,Daniel Drinkwater
51,Matt,Targett,309,Targett,44,-1,2,0.9,2,7,60,1598,1,3,3,31,3,0,0,10,332,1.3636363636363635,0.03754693366708386,Matt Targett
52,Wesley,Moraes,428,Wesley,55,-5,4,0.9,2,7,67,1782,5,1,6,31,3,0,0,7,180,1.2181818181818183,0.037598204264870934,Wesley Moraes
53,Jed,Steer,429,Steer,43,-2,1,0.1,2,7,1,7,0,0,0,0,0,0,0,0,3,0.023255813953488372,0.14285714285714285,Jed Steer
54,Tyrone,Mings,445,Mings,45,0,2,2.7,2,7,56,1912,2,1,3,38,5,0,0,5,362,1.2444444444444445,0.029288702928870293,Tyrone Mings
55,Ezri,Konsa Ngoyo,452,Konsa,43,-2,2,0.1,2,7,30,1198,0,2,2,29,1,0,0,1,198,0.6976744186046512,0.025041736227045076,Ezri Konsa Ngoyo
56,Bjorn,Engels,455,Engels,44,-1,2,0.5,2,7,42,1356,1,0,3,28,1,0,0,4,242,0.9545454545454546,0.030973451327433628,Bjorn Engels
57,Frédéric,Guilbert,458,Guilbert,44,-1,2,0.5,2,7,48,1808,0,2,4,32,7,0,0,2,289,1.0909090909090908,0.02654867256637168,Frédéric Guilbert
58,Mahmoud Ahmed,Ibrahim Hassan,465,Trézéguet,52,-3,3,1.1,2,7,58,1315,3,2,3,23,2,1,0,2,170,1.1153846153846154,0.04410646387832699,Mahmoud Ahmed Ibrahim Hassan
59,Douglas Luiz,Soares de Paulo,470,Douglas Luiz,44,-1,3,4.0,2,7,69,1621,3,2,5,36,4,0,0,5,288,1.5681818181818181,0.04256631708821715,Douglas Luiz Soares de Paulo
60,Lovre,Kalinic,474,Kalinic,43,-2,1,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0,0.0,,Lovre Kalinic
61,Marvelous,Nakamba,491,Nakamba,44,-1,3,0.7,2,7,33,1536,0,0,1,31,4,0,0,0,233,0.75,0.021484375,Marvelous Nakamba
62,Indiana,Vassilev,600,Vassilev,45,0,3,0.0,2,7,2,36,0,0,0,0,0,0,0,0,3,0.044444444444444446,0.05555555555555555,Indiana Vassilev
63,José,Reina,603,Reina,45,0,1,0.5,2,7,18,450,0,0,0,9,1,0,20,2,100,0.4,0.04,José Reina
64,Mbwana,Samatta,613,Samatta,60,0,4,0.3,2,7,12,262,1,0,0,6,0,0,0,2,40,0.2,0.04580152671755725,Mbwana Samatta
65,Borja,González Tomás,623,Bastón,55,0,4,0.0,2,7,2,16,0,0,0,2,0,0,0,0,5,0.03636363636363636,0.125,Borja González Tomás
66,Steve,Cook,58,Steve Cook,50,0,2,0.2,3,91,44,1740,1,0,3,34,4,1,0,5,293,0.88,0.02528735632183908,Steve Cook
67,Nathan,Aké,59,Aké,48,-2,2,6.6,3,91,65,1834,2,1,3,29,1,0,0,6,375,1.3541666666666667,0.03544165757906216,Nathan Aké
68,Charlie,Daniels,60,Daniels,42,-3,2,0.1,3,91,3,126,0,0,0,2,0,0,0,0,18,0.07142857142857142,0.023809523809523808,Charlie Daniels
69,Chris,Mepham,61,Mepham,43,-2,2,0.6,3,91,26,901,1,0,1,19,1,0,0,2,161,0.6046511627906976,0.02885682574916759,Chris Mepham
70,Simon,Francis,62,Francis,44,-1,2,0.0,3,91,16,964,0,0,1,21,3,1,0,1,161,0.36363636363636365,0.016597510373443983,Simon Francis
71,Adam,Smith,63,Adam Smith,43,-2,2,0.4,3,91,38,1377,0,1,3,23,5,0,0,3,221,0.8837209302325582,0.027596223674655047,Adam Smith
72,Lloyd,Kelly,64,Kelly,44,-1,2,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,Lloyd Kelly
73,Diego,Rico,65,Rico,43,3,2,10.9,3,91,61,1793,0,3,5,27,6,0,0,5,335,1.4186046511627908,0.03402119353039598,Diego Rico
74,Jack,Simpson,66,Simpson,40,0,2,7.1,3,91,3,167,0,0,0,4,0,0,0,0,25,0.075,0.017964071856287425,Jack Simpson
75,Callum,Wilson,67,Callum Wilson,74,-6,4,4.9,3,91,89,2166,7,3,3,42,6,0,0,8,265,1.2027027027027026,0.041089566020313946,Callum Wilson
76,Joshua,King,68,King,61,-4,4,3.3,3,91,61,1394,3,3,3,21,0,0,0,6,191,1.0,0.04375896700143472,Joshua King
77,Dominic,Solanke,69,Solanke,52,-3,4,0.3,3,91,40,1154,0,2,1,25,1,0,0,0,75,0.7692307692307693,0.03466204506065858,Dominic Solanke
78,Sam,Surridge,71,Surridge,43,-2,4,0.6,3,91,1,15,0,0,0,1,0,0,0,0,3,0.023255813953488372,0.06666666666666667,Sam Surridge
79,Asmir,Begovic,72,Begovic,42,-3,1,0.7,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,Asmir Begovic
80,Artur,Boruc,73,Boruc,43,-2,1,0.2,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,Artur Boruc
81,Mark,Travers,74,Travers,42,-3,1,0.2,3,91,1,90,0,0,0,3,0,0,2,0,9,0.023809523809523808,0.011111111111111112,Mark Travers
82,Ryan,Fraser,75,Fraser,68,-7,3,2.7,3,91,66,1881,1,4,4,30,2,0,0,2,277,0.9705882352941176,0.03508771929824561,Ryan Fraser
83,David,Brooks,76,Brooks,62,-3,3,0.1,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,David Brooks
84,Junior,Stanislas,77,Stanislas,59,-1,3,0.0,3,91,5,132,0,0,0,4,0,0,0,0,20,0.0847457627118644,0.03787878787878788,Junior Stanislas
85,Jordon,Ibe,78,Ibe,46,-4,3,0.1,3,91,2,48,0,0,0,1,0,0,0,0,10,0.043478260869565216,0.041666666666666664,Jordon Ibe
86,Lewis,Cook,79,Lewis Cook,50,0,3,0.0,3,91,28,830,0,1,2,16,3,0,0,0,125,0.56,0.033734939759036145,Lewis Cook
87,Andrew,Surman,80,Surman,47,-3,3,0.0,3,91,6,234,0,0,0,6,1,0,0,0,28,0.1276595744680851,0.02564102564102564,Andrew Surman
88,Dan,Gosling,81,Gosling,49,-1,3,0.1,3,91,37,859,2,1,1,15,1,0,0,1,120,0.7551020408163265,0.04307334109429569,Dan Gosling
89,Jefferson,Lerma,82,Lerma,48,-2,3,0.1,3,91,36,1773,0,1,3,29,9,1,0,2,233,0.75,0.02030456852791878,Jefferson Lerma
90,Jack,Stacey,446,Stacey,43,-2,2,0.1,3,91,24,886,0,1,1,15,2,0,0,3,146,0.5581395348837209,0.02708803611738149,Jack Stacey
91,Philip,Billing,476,Billing,50,0,3,0.2,3,91,56,1982,1,1,5,32,7,0,0,5,286,1.12,0.028254288597376387,Philip Billing
92,Arnaut,Danjuma Groeneveld,492,Danjuma,58,-2,3,0.0,3,91,18,405,0,1,2,6,0,0,0,0,55,0.3103448275862069,0.044444444444444446,Arnaut Danjuma Groeneveld
93,Aaron,Ramsdale,494,Ramsdale,46,1,1,3.8,3,91,92,2340,0,1,4,40,0,0,93,10,485,2.0,0.039316239316239315,Aaron Ramsdale
94,Harry,Wilson,505,Harry Wilson,58,-2,3,2.2,3,91,84,1432,7,1,2,28,1,0,0,7,280,1.4482758620689655,0.05865921787709497,Harry Wilson
95,Christian,Saydee,564,Saydee,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,Christian Saydee
96,Gavin,Kilkenny,565,Kilkenny,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,Gavin Kilkenny
97,Mihai-Alexandru,Dobre,574,Dobre,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0,0.0,,Mihai-Alexandru Dobre
98,Shane,Duffy,37,Duffy,48,-2,2,0.9,4,36,36,1071,1,0,2,15,1,0,0,1,187,0.75,0.03361344537815126,Shane Duffy
99,Martín,Montoya,38,Montoya,44,-1,2,0.6,4,36,54,1536,0,1,5,24,3,0,0,3,263,1.2272727272727273,0.03515625,Martín Montoya
100,Bernardo,Fernandes da Silva Junior,39,Bernardo,43,-2,2,0.1,4,36,18,541,0,0,1,12,1,0,0,3,102,0.4186046511627907,0.033271719038817,Bernardo Fernandes da Silva Junior
101,Leon,Balogun,40,Balogun,44,-1,2,0.1,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,Leon Balogun
102,Gaëtan,Bong,41,Bong,42,-3,2,0.1,4,36,3,57,0,0,0,3,0,0,0,0,15,0.07142857142857142,0.05263157894736842,Gaëtan Bong
103,Lewis,Dunk,42,Dunk,48,3,2,13.4,4,36,83,2250,2,3,5,35,8,0,0,11,469,1.7291666666666667,0.03688888888888889,Lewis Dunk
104,Matthew,Clarke,43,Clarke,44,-1,2,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,Matthew Clarke
105,Glenn,Murray,44,Murray,54,-6,4,0.7,4,36,28,677,1,0,2,9,0,0,0,0,51,0.5185185185185185,0.0413589364844904,Glenn Murray
106,Jürgen,Locadia,45,Locadia,52,-3,4,0.1,4,36,3,85,0,0,1,1,0,0,0,0,5,0.057692307692307696,0.03529411764705882,Jürgen Locadia
107,Florin,Andone,46,Andone,47,-3,4,0.4,4,36,5,71,1,0,0,2,0,1,0,1,20,0.10638297872340426,0.07042253521126761,Florin Andone
108,Mathew,Ryan,47,Ryan,48,3,1,15.2,4,36,93,2430,0,0,5,39,0,0,89,11,539,1.9375,0.03827160493827161,Mathew Ryan
109,David,Button,48,Button,39,-1,1,20.7,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,David Button
110,Pascal,Groß,49,Groß,63,-2,3,0.5,4,36,69,1485,2,5,3,25,2,0,0,7,298,1.0952380952380953,0.046464646464646465,Pascal Groß
111,Alireza,Jahanbakhsh,50,Jahanbakhsh,58,-2,3,0.1,4,36,24,264,2,1,1,3,0,0,0,2,75,0.41379310344827586,0.09090909090909091,Alireza Jahanbakhsh
112,José Heriberto,Izquierdo Mena,51,Izquierdo,54,-1,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,José Heriberto Izquierdo Mena
113,Anthony,Knockaert,52,Knockaert,54,-1,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,Anthony Knockaert
114,Yves,Bissouma,53,Bissouma,50,0,3,0.0,4,36,14,492,0,0,1,6,2,0,0,0,72,0.28,0.028455284552845527,Yves Bissouma
115,Davy,Pröpper,54,Pröpper,48,-2,3,0.4,4,36,59,2160,1,2,4,35,4,0,0,2,352,1.2291666666666667,0.027314814814814816,Davy Pröpper
116,Solomon,March,55,March,46,-4,3,0.2,4,36,24,736,0,1,2,12,2,0,0,3,99,0.5217391304347826,0.03260869565217391,Solomon March
117,Beram,Kayal,56,Kayal,43,-2,3,0.2,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,Beram Kayal
118,Dale,Stephens,57,Stephens,44,-1,3,1.8,4,36,47,1939,0,1,4,33,6,0,0,1,319,1.0681818181818181,0.024239298607529654,Dale Stephens
119,Leandro,Trossard,421,Trossard,58,-2,3,0.5,4,36,70,1267,3,5,1,23,0,0,0,6,258,1.206896551724138,0.055248618784530384,Leandro Trossard
120,Dan,Burn,475,Burn,45,0,2,0.2,4,36,50,1967,0,0,5,31,3,0,0,0,329,1.1111111111111112,0.02541942043721403,Dan Burn
121,Adam,Webster,493,Webster,44,-1,2,0.6,4,36,61,1835,3,1,2,32,3,0,0,7,354,1.3863636363636365,0.0332425068119891,Adam Webster
122,Neal,Maupay,502,Maupay,58,-2,4,1.8,4,36,97,1929,8,2,5,27,3,0,0,15,272,1.6724137931034482,0.05028512182477968,Neal Maupay
123,Aaron,Mooy,516,Mooy,48,-2,3,0.8,4,36,59,1473,2,1,3,25,0,1,0,9,239,1.2291666666666667,0.04005431093007468,Aaron Mooy
124,Aaron,Connolly,534,Connolly,43,-2,4,1.3,4,36,41,827,2,2,3,13,0,0,0,3,90,0.9534883720930233,0.049576783555018135,Aaron Connolly
125,Tudor,Baluta,536,Baluta,40,0,2,0.2,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,Tudor Baluta
126,Steven,Alzate,537,Alzate,45,0,3,0.1,4,36,32,1173,0,0,3,18,1,0,0,0,175,0.7111111111111111,0.027280477408354646,Steven Alzate
127,Ezequiel,Schelotto,546,Schelotto,40,0,2,0.5,4,36,8,287,0,0,0,6,1,0,0,0,33,0.2,0.027874564459930314,Ezequiel Schelotto
128,Tariq,Lamptey,586,Lamptey,40,0,2,0.1,4,36,1,31,0,0,0,0,0,0,0,0,8,0.025,0.03225806451612903,Tariq Lamptey
129,Alexis,Mac Allister,627,Mac Allister,55,0,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0,0.0,,Alexis Mac Allister
130,Ben,Mee,83,Mee,50,0,2,1.1,5,90,80,2430,0,2,10,39,6,0,0,1,448,1.6,0.03292181069958848,Ben Mee
131,James,Tarkowski,84,Tarkowski,51,1,2,3.5,5,90,94,2430,1,2,10,39,6,0,0,9,470,1.8431372549019607,0.03868312757201646,James Tarkowski
132,Matthew,Lowton,85,Lowton,42,-3,2,0.4,5,90,41,1350,0,1,5,26,2,0,0,0,236,0.9761904761904762,0.03037037037037037,Matthew Lowton
133,Phil,Bardsley,86,Bardsley,43,-2,2,0.2,5,90,41,1080,0,1,5,13,3,0,0,2,198,0.9534883720930233,0.03796296296296296,Phil Bardsley
134,Charlie,Taylor,87,Taylor,42,-3,2,1.5,5,90,48,1195,0,0,6,10,2,0,0,2,227,1.1428571428571428,0.0401673640167364,Charlie Taylor
135,Kevin,Long,88,Long,43,-2,2,0.1,5,90,1,2,0,0,0,0,0,0,0,0,2,0.023255813953488372,0.5,Kevin Long
136,Ben,Gibson,89,Gibson,39,-1,2,2.6,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Ben Gibson
137,Ashley,Barnes,90,Barnes,61,-4,4,2.2,5,90,61,1350,6,0,8,21,4,0,0,6,161,1.0,0.04518518518518518,Ashley Barnes
138,Chris,Wood,91,Wood,62,-3,4,1.5,5,90,99,1939,10,1,10,27,1,0,0,13,273,1.596774193548387,0.05105724600309438,Chris Wood
139,Matej,Vydra,92,Vydra,53,-2,4,0.1,5,90,24,249,2,1,2,1,0,0,0,3,79,0.4528301886792453,0.0963855421686747,Matej Vydra
140,Nick,Pope,93,Pope,47,2,1,16.1,5,90,116,2430,0,0,10,39,0,0,84,14,558,2.4680851063829787,0.047736625514403296,Nick Pope
141,Joe,Hart,95,Hart,42,-3,1,1.1,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Joe Hart
142,Johann Berg,Gudmundsson,96,Gudmundsson,59,-1,3,0.4,5,90,20,398,1,0,3,4,0,0,0,1,66,0.3389830508474576,0.05025125628140704,Johann Berg Gudmundsson
143,Dwight,McNeil,97,McNeil,60,0,3,0.5,5,90,92,2349,2,6,11,37,4,0,0,4,388,1.5333333333333334,0.039165602383993185,Dwight McNeil
144,Robbie,Brady,98,Brady,55,0,3,0.0,5,90,29,395,1,2,1,10,1,0,0,0,104,0.5272727272727272,0.07341772151898734,Robbie Brady
145,Steven,Defour,99,Defour,55,0,3,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Steven Defour
146,Jeff,Hendrick,100,Hendrick,54,-1,3,0.1,5,90,63,1752,2,2,9,29,7,0,0,4,183,1.1666666666666667,0.03595890410958904,Jeff Hendrick
147,Ashley,Westwood,101,Westwood,54,-1,3,0.8,5,90,87,2160,2,6,10,28,8,0,0,9,392,1.6111111111111112,0.04027777777777778,Ashley Westwood
148,Jack,Cork,102,Cork,49,-1,3,0.2,5,90,58,2185,0,0,9,35,0,0,0,0,257,1.183673469387755,0.02654462242562929,Jack Cork
149,Aaron,Lennon,430,Lennon,46,-4,3,0.1,5,90,14,484,0,0,0,15,4,0,0,0,48,0.30434782608695654,0.028925619834710745,Aaron Lennon
150,Erik,Pieters,447,Pieters,42,-3,2,4.2,5,90,42,1233,0,3,3,29,1,0,0,7,226,1.0,0.0340632603406326,Erik Pieters
151,Jay,Rodriguez,451,Rodriguez,57,-3,4,0.3,5,90,58,1219,5,0,3,25,1,0,0,3,170,1.0175438596491229,0.0475799835931091,Jay Rodriguez
152,Bailey,Peacock-Farrell,495,Peacock-Farrell,43,-2,1,0.1,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Bailey Peacock-Farrell
153,Mace,Goodridge,571,Goodridge,45,0,3,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Mace Goodridge
154,Anthony,Driscoll-Glennon,572,Driscoll-Glennon,39,-1,2,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Anthony Driscoll-Glennon
155,Abd-Al-Ali Morakinyo Olaposi,Koiki,596,Koiki,40,0,2,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0,0.0,,Abd-Al-Ali Morakinyo Olaposi Koiki
156,Josh,Brownhill,620,Brownhill,50,0,3,0.0,5,90,1,1,0,0,0,0,0,0,0,0,3,0.02,1.0,Josh Brownhill
157,Marcos,Alonso,103,Alonso,60,-5,2,2.1,6,8,55,678,2,3,4,5,3,0,0,5,202,0.9166666666666666,0.08112094395280237,Marcos Alonso
158,Antonio,Rüdiger,104,Rüdiger,60,0,2,0.6,6,8,37,1035,2,0,2,13,3,0,0,3,202,0.6166666666666667,0.035748792270531404,Antonio Rüdiger
159,César,Azpilicueta,105,Azpilicueta,58,-2,2,6.0,6,8,81,2239,2,3,4,36,0,0,0,7,449,1.396551724137931,0.036176864671728454,César Azpilicueta
160,Emerson,Palmieri dos Santos,107,Emerson,54,-1,2,0.7,6,8,18,1020,0,0,1,21,3,0,0,0,179,0.3333333333333333,0.01764705882352941,Emerson Palmieri dos Santos
161,Andreas,Christensen,108,Christensen,49,-1,2,0.6,6,8,22,1166,0,0,2,22,4,0,0,0,204,0.4489795918367347,0.018867924528301886,Andreas Christensen
162,Davide,Zappacosta,109,Zappacosta,43,-2,2,0.2,6,8,0,0,0,0,0,0,0,0,0,0,0,0.0,,Davide Zappacosta
163,Olivier,Giroud,110,Giroud,65,-5,4,1.1,6,8,17,282,1,0,2,5,0,0,0,3,47,0.26153846153846155,0.06028368794326241,Olivier Giroud
164,Kepa,Arrizabalaga,111,Kepa,55,0,1,4.4,6,8,63,2160,0,0,5,32,0,0,41,0,363,1.1454545454545455,0.029166666666666667,Kepa Arrizabalaga
165,Willy,Caballero,112,Caballero,48,-2,1,0.2,6,8,5,270,0,0,0,5,0,0,6,0,37,0.10416666666666667,0.018518518518518517,Willy Caballero
166,Willian,Borges Da Silva,113,Willian,70,0,3,4.2,6,8,99,1827,4,5,7,21,3,0,0,14,434,1.4142857142857144,0.054187192118226604,Willian Borges Da Silva
167,Pedro,Rodríguez Ledesma,114,Pedro,68,-2,3,1.1,6,8,13,473,0,0,1,10,1,0,0,0,57,0.19117647058823528,0.02748414376321353,Pedro Rodríguez Ledesma
168,Ruben,Loftus-Cheek,115,Loftus-Cheek,63,-2,3,0.1,6,8,0,0,0,0,0,0,0,0,0,0,0,0.0,,Ruben Loftus-Cheek
169,Callum,Hudson-Odoi,116,Hudson-Odoi,53,-7,3,0.7,6,8,45,768,1,4,2,12,1,0,0,3,172,0.8490566037735849,0.05859375,Callum Hudson-Odoi
170,Ross,Barkley,117,Barkley,56,-4,3,1.2,6,8,24,554,0,2,3,7,0,0,0,0,75,0.42857142857142855,0.04332129963898917,Ross Barkley
171,Jorge Luiz,Frello Filho,118,Jorginho,49,-1,3,4.5,6,8,80,1946,4,3,4,30,9,0,0,9,461,1.6326530612244898,0.041109969167523124,Jorge Luiz Frello Filho
172,N'Golo,Kanté,119,Kanté,50,0,3,3.9,6,8,49,1383,3,0,2,20,3,0,0,2,242,0.98,0.035430224150397684,N'Golo Kanté
173,Ethan,Ampadu,121,Ampadu,44,-1,3,0.0,6,8,0,0,0,0,0,0,0,0,0,0,0,0.0,,Ethan Ampadu
174,Christian,Pulisic,431,Pulisic,69,-6,3,3.5,6,8,70,1069,5,3,3,19,0,0,0,5,217,1.0144927536231885,0.06548175865294668,Christian Pulisic
175,Mateo,Kovacic,432,Kovacic,53,-2,3,0.9,6,8,56,1588,1,3,2,27,7,0,0,6,374,1.0566037735849056,0.03526448362720403,Mateo Kovacic
176,Kurt,Zouma,459,Zouma,47,-3,2,1.5,6,8,37,1713,0,0,3,27,4,0,0,1,288,0.7872340425531915,0.021599532983070636,Kurt Zouma
177,Tammy,Abraham,460,Abraham,76,6,4,20.4,6,8,131,1930,13,5,7,27,2,0,0,20,396,1.7236842105263157,0.06787564766839378,Tammy Abraham
178,Michy,Batshuayi,461,Batshuayi,66,-4,4,0.5,6,8,27,206,1,2,0,8,0,0,0,1,57,0.4090909090909091,0.13106796116504854,Michy Batshuayi
179,Robert Kenedy,Nunes do Nascimento,462,Kenedy,52,-3,3,0.0,6,8,0,0,0,0,0,0,0,0,0,0,0,0.0,,Robert Kenedy Nunes do Nascimento
180,Mason,Mount,463,Mount,61,1,3,14.9,6,8,103,2147,5,5,7,31,3,0,0,8,374,1.6885245901639345,0.047973917093619006,Mason Mount
181,Reece,James,506,James,50,0,2,0.8,6,8,43,945,0,2,3,12,1,0,0,5,235,0.86,0.0455026455026455,Reece James
182,Fikayo,Tomori,529,Tomori,44,-1,2,1.9,6,8,47,1228,1,0,4,16,3,0,0,7,255,1.0681818181818181,0.038273615635179156,Fikayo Tomori
183,Billy,Gilmour,533,Gilmour,45,0,3,0.0,6,8,2,9,0,0,0,1,0,0,0,0,5,0.044444444444444446,0.2222222222222222,Billy Gilmour
184,Addji Keaninkin Marc-Israel,Guehi,545,Guehi,40,0,2,0.1,6,8,0,0,0,0,0,0,0,0,0,0,0,0.0,,Addji Keaninkin Marc-Israel Guehi
185,Patrick,van Aanholt,123,van Aanholt,55,0,2,4.4,7,31,73,1712,3,0,5,24,0,0,0,6,350,1.3272727272727274,0.04264018691588785,Patrick van Aanholt
186,James,Tomkins,124,Tomkins,50,0,2,0.4,7,31,48,1582,1,1,3,23,5,0,0,4,260,0.96,0.03034134007585335,James Tomkins
187,Mamadou,Sakho,125,Sakho,50,0,2,0.1,7,31,7,465,0,0,0,8,0,1,0,0,69,0.14,0.015053763440860216,Mamadou Sakho
188,Joel,Ward,126,Ward,43,-2,2,1.1,7,31,50,1390,0,1,4,18,3,0,0,7,243,1.1627906976744187,0.03597122302158273,Joel Ward
189,Scott,Dann,127,Dann,43,-2,2,0.1,7,31,23,454,0,1,2,3,0,0,0,1,103,0.5348837209302325,0.05066079295154185,Scott Dann
190,Martin,Kelly,128,Kelly,42,2,2,21.8,7,31,64,1547,0,1,6,16,0,0,0,4,288,1.5238095238095237,0.04137039431157078,Martin Kelly
191,Christian,Benteke,129,Benteke,57,-3,4,0.5,7,31,28,740,1,0,2,11,2,0,0,1,87,0.49122807017543857,0.03783783783783784,Christian Benteke
192,Connor,Wickham,130,Wickham,44,-1,4,2.0,7,31,15,90,1,1,0,2,0,0,0,2,48,0.3409090909090909,0.16666666666666666,Connor Wickham
193,Vicente,Guaita,131,Guaita,51,1,1,2.1,7,31,95,2250,0,0,7,28,1,0,77,10,454,1.8627450980392157,0.042222222222222223,Vicente Guaita
194,Wayne,Hennessey,132,Hennessey,42,-3,1,0.6,7,31,6,180,0,0,0,4,0,0,13,0,42,0.14285714285714285,0.03333333333333333,Wayne Hennessey
195,Wilfried,Zaha,133,Zaha,68,-2,3,9.8,7,31,90,2365,3,5,6,32,3,0,0,4,272,1.3235294117647058,0.03805496828752643,Wilfried Zaha
196,Luka,Milivojevic,134,Milivojevic,67,-3,3,1.9,7,31,61,1965,2,1,6,26,9,0,0,7,296,0.9104477611940298,0.03104325699745547,Luka Milivojevic
197,Andros,Townsend,135,Townsend,56,-4,3,1.0,7,31,34,791,1,1,3,12,0,0,0,0,141,0.6071428571428571,0.04298356510745891,Andros Townsend
