date,home_team,away_team,home_goals,away_goals
2019-08-11 13:00:00+00:00,13,1,0,1
2019-08-17 14:00:00+00:00,14,13,3,1
2019-08-25 15:30:00+00:00,17,13,0,1
2019-08-31 14:00:00+00:00,13,18,1,1
2019-09-14 11:30:00+00:00,10,13,3,1
2019-09-21 16:30:00+00:00,13,4,0,0
2019-09-29 15:30:00+00:00,9,13,5,0
2019-10-06 15:30:00+00:00,13,12,1,0
2019-10-19 14:00:00+00:00,6,13,1,0
2019-10-27 14:00:00+00:00,13,20,1,1
2019-11-02 15:00:00+00:00,19,13,2,3
2019-11-09 15:00:00+00:00,13,3,2,1
2019-11-25 20:00:00+00:00,2,13,2,0
2019-11-30 12:30:00+00:00,13,11,2,2
2019-12-05 19:30:00+00:00,15,13,0,2
2019-12-08 14:00:00+00:00,13,16,2,1
2019-12-14 15:00:00+00:00,5,13,1,0
2019-12-21 15:00:00+00:00,13,7,1,0
2019-12-26 17:30:00+00:00,12,13,4,1
2019-12-28 15:00:00+00:00,13,8,1,2
2020-01-01 15:00:00+00:00,13,9,0,3
2020-01-11 15:00:00+00:00,20,13,1,1
2020-01-18 17:30:00+00:00,13,6,1,0
2020-01-21 19:30:00+00:00,8,13,2,2
2020-02-01 15:00:00+00:00,13,14,0,0
